"analysis","seurat_clusters","n","lineage","median_pseudotime","mean_pseudotime","functional_state_label","projectils_label","projectils_label_prop","singler_immgen_label","singler_mousernaseq_label","top_previous_tcell_subtype","seurat_cluster_top_previous_tcell_subtype","seurat_cluster_projectils_label"
"CD4-like_41BB-L","0",133,"slingPseudotime_1",19.652316953725,20.0390972071982,"Stress-response CD4 T cells","Th1",0.46643109540636,"T cells (T.Tregs)","T cells","Treg","0:Treg","0:Th1"
"CD4-like_41BB-L","2",35,"slingPseudotime_1",25.398267275072,24.2486680013999,"Activated CD4 T cells","Treg",0.819444444444444,"T cells (T.Tregs)","T cells","Treg","2:Treg","2:Treg"
"CD4-like_41BB-L","3",32,"slingPseudotime_1",13.9956070968659,12.0306723645161,"Activated CD4 T cells","Th1",0.623052959501558,"NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells","3:Th1"
"CD4-like_41BB-L","4",17,"slingPseudotime_1",34.9939400097423,35.1012410441275,"Activated CD4 T cells","Th1",0.838709677419355,"T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","4:Activated CD4 effector / helper-like T cells","4:Th1"
"CD4-like_41BB-L","0",133,"slingPseudotime_2",19.7212731828608,19.9019143209253,"Stress-response CD4 T cells","Th1",0.46643109540636,"T cells (T.Tregs)","T cells","Treg","0:Treg","0:Th1"
"CD4-like_41BB-L","2",108,"slingPseudotime_2",29.4015676705688,28.8587183370578,"Activated CD4 T cells","Treg",0.819444444444444,"T cells (T.Tregs)","T cells","Treg","2:Treg","2:Treg"
"CD4-like_41BB-L","3",32,"slingPseudotime_2",14.0118817283072,11.0698463333367,"Activated CD4 T cells","Th1",0.623052959501558,"NKT (NKT.4+)","T cells","Quiescent T cells","3:Quiescent T cells","3:Th1"
"CD4-like_41BB-L","4",3,"slingPseudotime_2",16.542600828971,19.4596960657334,"Activated CD4 T cells","Th1",0.838709677419355,"T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","4:Activated CD4 effector / helper-like T cells","4:Th1"
"CD4-like_41BB-L","0",133,"slingPseudotime_3",18.2122386131866,18.447740138224,"Stress-response CD4 T cells","Th1",0.46643109540636,"T cells (T.Tregs)","T cells","Treg","0:Treg","0:Th1"
"CD4-like_41BB-L","1",46,"slingPseudotime_3",36.2753928342214,44.6922457006403,"Activated CD4 T cells","Th1",0.45956607495069,"T cells (T.8EFF.OT1.48HR.LISOVA)","T cells","Cycling / proliferating CAR T cells","1:Cycling / proliferating CAR T cells","1:Th1"
"CD4-like_41BB-L","2",18,"slingPseudotime_3",19.7546443734929,19.6035285596203,"Activated CD4 T cells","Treg",0.819444444444444,"T cells (T.Tregs)","T cells","Treg","2:Treg","2:Treg"
